id;hash;time;size;miner;extra_data_hex;difficulty;gas_used;gas_limit;mix_hash;nonce;receipts_root;sha3_uncles;state_root;total_difficulty;transactions_root;uncle_count;transaction_count;synthetic_transaction_count;call_count;synthetic_call_count;value_total;value_total_usd;internal_value_total;internal_value_total_usd;generation;generation_usd;uncle_generation;uncle_generation_usd;fee_total;fee_total_usd;reward;reward_usd
2912417;32ddb05a19ead9e921b5df9f8d0e869f8039baa7055ba634887534a3188a53b0;1/01/2017 0:02;1239;0x1e9939daaad6924ad004c2560e90804164900341;706f6f6c2e65746866616e732e6f7267;7,88E+13;174754;4000000;37ce61aaef7cc63e9a1965034e379b956ea5fd663b5d01db7ba89b5cc761aeeb;1,68E+19;614cc2c1c1ce8e53100e57c3dba967290398ade60a234db54c6755200b890f86;1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347;2212b23ef0d495a4065104b748b45dba5182133b41bd3902266fc5c34852819e;1,12E+20;f054cfa3e2dc92b43196f24d9203e6f496e0d1d38774491c613344f224b3a41a;0;6;1;6;1;8,85E+18;71.197;8,85E+18;711.689;5,00E+18;402.241;0;0;3,50E+15;0.0281;5,00E+18;402.522
2912418;1ced91699f2367fb0d0787d16fc42a5b1e68e3639e25e2aa5cf9955c41be6fe5;1/01/2017 0:02;526;0x2a65aca4d5fc5b5c859090a6c34d164135398226;4477617266506f6f6c;7,88E+13;0;4003905;621c6624708371e48e13b9f58058a91f8707b6fad2c0653742dd401ecee71fde;1,24E+19;56e81f171bcc55a6ff8345e692c0f86e5b48e01b996cadc001622fb5e363b421;1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347;fab80ab51ae4319cb22c7087fb42aaeecfacef9b9e58ae02614c0cdcade53cfb;1,12E+20;56e81f171bcc55a6ff8345e692c0f86e5b48e01b996cadc001622fb5e363b421;0;0;1;0;1;5,00E+18;402.241;5,00E+18;402.241;5,00E+18;402.241;0;0;0;0;5,00E+18;402.241
2912419;6624d9966a9a99133a11f67e3e6240399c78370514aa4f2a5e80b03dae9516a9;1/01/2017 0:02;1924;0xea674fdde714fd979de3edf0f56aa9716b898ec8;65746865726d696e65202d20555331;7,88E+13;300754;4000000;4addb58c5fe1d64a013c9a6eed5d86727fc1524a288d3bc6b7b366feee6b0ab9;9,11E+18;b984b104b92fd74de4ca2b4ba7682cc93f8b3d0b51d714d42bacb98a40f357dd;1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347;378ce2ad551f7f6ecc19a343fc205f5554c2b6c8597ac360453190ba1b8a7e82;1,12E+20;bde11c05f41b11e156689aee6018762ef3def92e86c0a5eb29cd8e4af1d47e9d;0;12;1;12;1;2,36E+19;1.894.815;2,35E+19;1.894.331;5,00E+18;402.241;0;0;6,02E+15;0.0484;5,01E+18;402.725
2912420;036879ad30fb67e0e0e43a31c8d226304755a25cb0fc77971cebcb8a65786b7c;1/01/2017 0:03;1551;0x1e9939daaad6924ad004c2560e90804164900341;706f6f6c2e65746866616e732e6f726720284d4e3229;7,88E+13;211866;4000000;7508ac86b7e53016b02466674e6008d3c98581cc67bbdfe7b5a7869456cd32e8;1,31E+19;bc44080b716cc9be708013895ecb5e9fd271230a80dbf6df4ae64fc2b2ebd61a;1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347;9328b07b13a53ec46ef5ac6d8f89115e4d4354cc09c2d4c8466f90f12e26aad4;1,12E+20;d6fbaf2b3ba170921b8b24893f5b85b52669817c517788704f310fe273059460;0;7;1;12;1;1,17E+19;94.497;1,60E+19;1.283.718;5,00E+18;402.241;0;0;4,52E+15;0.0363;5,00E+18;402.604
2912421;64623ee3f7a733059522dfb30cc7d24d188e56806ebe7f45b790eed8658376d3;1/01/2017 0:03;532;0x61c808d82a3ac53231750dadc13c777b59310bd9;e4b883e5bda9e7a59ee4bb99e9b1bc;7,88E+13;0;3996095;3fd6f34461296f313a919325bdeb5ac3853d711e48021cfe2c76f826c6c38545;1,76E+19;56e81f171bcc55a6ff8345e692c0f86e5b48e01b996cadc001622fb5e363b421;1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347;1b2885a1ede09634ef05b0776d23d0743ac0eecfedb8228d70df74d44fd1cea6;1,12E+20;56e81f171bcc55a6ff8345e692c0f86e5b48e01b996cadc001622fb5e363b421;0;0;1;0;1;5,00E+18;402.241;5,00E+18;402.241;5,00E+18;402.241;0;0;0;0;5,00E+18;402.241
2912422;db785c895fda563d95653d39b137bf904fcb3fdcea4d5fb292d5a6d4ccde4f17;1/01/2017 0:03;527;0xc0ea08a2d404d3172d2add29a45be56da40e2949;7777772e62772e636f6d;7,88E+13;0;3999996;fa56524a1c87a28bcca15aa8d0f5f0c0964bb7d54306501ab67d04d17293e506;1,62E+19;56e81f171bcc55a6ff8345e692c0f86e5b48e01b996cadc001622fb5e363b421;1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347;b6628252460ed85875ec2b225d04ac66a102e788a5866f0069454ad3fe940cb3;1,12E+20;56e81f171bcc55a6ff8345e692c0f86e5b48e01b996cadc001622fb5e363b421;0;0;1;0;1;5,00E+18;402.241;5,00E+18;402.241;5,00E+18;402.241;0;0;0;0;5,00E+18;402.241
2912423;c464105da89611d1ffead2f6bc797baea42eb88c586ffc6b5cd29a660812db64;1/01/2017 0:03;791;0x1e9939daaad6924ad004c2560e90804164900341;706f6f6c2e65746866616e732e6f7267;7,89E+13;86864;4000000;5860a879c7dd0c877d248b398f2ab17679f38e5a66c8c646866a0998c865cc1d;1,38E+19;7d40828c75c3b802539eac8ffbf7e2ff06381bc170c803d682cb18dd1bcf9c19;1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347;eb2d0732d2f61631a1d46f0e95632e9cf0b0df32a4c171aeb243d2f7b02b3a2e;1,12E+20;e7927ddf7b1f2ab5a08007d6a91c6c98311207f31b856c1a2d5ba5434ab361fb;0;2;1;2;1;9,95E+18;800.857;9,95E+18;800.717;5,00E+18;402.241;0;0;1,74E+15;0.014;5,00E+18;402.381
2912424;45d789a2012a134fe7de0f9dee888bd5a508a0b1786dd5c3a08725f2c5cd6a57;1/01/2017 0:03;532;0x6c7f03ddfdd8a37ca267c88630a4fee958591de0;416c70657265756d204555524f5045;7,89E+13;0;4003905;a02e80428693b36287b269e3bdea2ed6d8321f49bb38247043ca9cbccdb58e86;1,49E+19;56e81f171bcc55a6ff8345e692c0f86e5b48e01b996cadc001622fb5e363b421;1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347;f22d75d7fbeacbc889cd31a122c7cc3c7139e791dd45b218114f6ef349ae7f6c;1,12E+20;56e81f171bcc55a6ff8345e692c0f86e5b48e01b996cadc001622fb5e363b421;0;0;1;0;1;5,00E+18;402.241;5,00E+18;402.241;5,00E+18;402.241;0;0;0;0;5,00E+18;402.241
2912425;7edccf064ce7caec0cfe57b20578ea4e760ca54a78d170142f1b07a372e175bf;1/01/2017 0:03;530;0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01;657468706f6f6c202d20455531;7,90E+13;0;4007814;d6d828d75c1fa738f656c91bb002e9409b2ec931024cd82f28ceda725e1463e6;6,31E+18;56e81f171bcc55a6ff8345e692c0f86e5b48e01b996cadc001622fb5e363b421;1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347;ce23d92f13574e7210e921f8c9ebec1900c8c6c405a94481769124ab9121b91d;1,12E+20;56e81f171bcc55a6ff8345e692c0f86e5b48e01b996cadc001622fb5e363b421;0;0;1;0;1;5,00E+18;402.241;5,00E+18;402.241;5,00E+18;402.241;0;0;0;0;5,00E+18;402.241
2912426;0002324480b629830f557f699692861a0309c3a694e018028ca9eee3103a4cd3;1/01/2017 0:03;526;0x2a65aca4d5fc5b5c859090a6c34d164135398226;4477617266506f6f6c;7,90E+13;0;4011726;0082b166acbee0c4bf465943518472298fbae0ce021b7ec5a39671daf845fdf8;8,54E+18;56e81f171bcc55a6ff8345e692c0f86e5b48e01b996cadc001622fb5e363b421;1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347;3643434e71a514a3ee5d0b042f6a616159f6c71f6be76e46d4d4c72101d0283b;1,12E+20;56e81f171bcc55a6ff8345e692c0f86e5b48e01b996cadc001622fb5e363b421;0;0;1;0;1;5,00E+18;402.241;5,00E+18;402.241;5,00E+18;402.241;0;0;0;0;5,00E+18;402.241
